2000-01-19T16:25:52.209Z,60.1596,-149.6749,24.7,2.9,ml,nan,nan,nan,0.65,ak,ak000vovzzo,2020-02-20T20:05:14.964Z
2000-01-20T06:13:02.660Z,56.618,-161.869,220.8,5.8,mwb,nan,nan,nan,1,us,usp0009md7,2020-02-20T20:05:10.948Z
2000-01-21T05:42:41.350Z,53.594,-163.204,33,3.9,mb,nan,nan,nan,1.27,us,usp0009met,2020-02-20T20:04:06.196Z
2000-01-21T06:46:11.183Z,58.8677,-153.4548,73.7,2.5,ml,nan,nan,nan,0.56,ak,ak000yu4rsu,2020-02-20T20:05:05.038Z
2000-01-21T18:17:23.233Z,61.7256,-149.7156,42,3,ml,nan,nan,nan,0.53,ak,ak000z13s83,2020-02-20T20:04:59.980Z
2000-01-21T19:15:38.600Z,60.2592,-153.2359,139.9,3.6,ml,nan,nan,nan,0.45,ak,ak000z1otl0,2020-02-20T20:04:59.181Z
2000-01-22T11:34:24.540Z,61.262,-146.8461,28.6,3.4,ml,nan,nan,nan,0.68,ak,ak00010kkqra,2020-02-20T20:04:56.295Z
2000-01-22T20:36:31.242Z,60.8685,-147.4815,38.9,3.3,ml,nan,nan,nan,0.6,ak,ak00010py35g,2020-02-20T20:04:54.492Z
2000-01-23T08:42:28.405Z,57.5699,-149.0911,27.8,5.5,mw,nan,nan,nan,0.74,ak,ak000126digo,2020-02-20T20:04:51.056Z
2000-01-23T20:53:32.553Z,61.8529,-152.0405,108.6,2.6,ml,nan,nan,nan,0.6,ak,ak00012dl2x3,2020-02-20T20:04:49.063Z
2000-01-23T21:53:15.540Z,59.8531,-153.5012,125,3,ml,nan,nan,nan,0.43,ak,ak00012e6h7m,2020-02-20T20:04:48.298Z
2000-01-25T20:09:13.573Z,60.2632,-152.4506,85.1,2.9,ml,nan,nan,nan,0.64,ak,ak00015oeaxp,2020-02-20T20:04:40.903Z
2000-01-25T23:00:55.237Z,54.4302,-161.0077,4.8,3,ml,nan,nan,nan,0.55,ak,ak00015q4rir,2020-02-20T20:04:39.615Z
2000-01-25T23:26:28.689Z,56.3092,-158.0697,72.6,3.4,ml,nan,nan,nan,0.51,ak,ak00015qaa38,2020-02-20T20:04:38.929Z
2000-01-26T06:28:54.464Z,60.0442,-152.8171,106.2,2.6,ml,nan,nan,nan,0.78,ak,ak000173pqpy,2020-02-20T20:04:37.160Z
2000-01-26T06:59:56.383Z,59.8765,-153.3217,121.5,2.8,ml,nan,nan,nan,0.65,ak,ak000173we2e,2020-02-20T20:04:36.688Z
2000-01-26T11:48:23.376Z,59.9971,-152.3206,71.1,3.4,ml,nan,nan,nan,0.81,ak,ak000176t4o1,2020-02-20T20:04:35.076Z
2000-01-27T10:25:54.741Z,54.8427,-160.6648,9.3,2.8,ml,nan,nan,nan,0.5,ak,ak00018tm6ia,2020-02-20T20:04:31.740Z
2000-01-27T17:13:11.325Z,59.7526,-152.9884,88.4,2.5,ml,nan,nan,nan,0.48,ak,ak00018xpjss,2020-02-20T20:04:30.378Z
2000-01-27T22:51:56.323Z,60.3125,-151.9445,83,2.5,ml,nan,nan,nan,0.59,ak,ak000190wyi8,2020-02-20T20:04:28.331Z
2000-01-28T19:21:15.898Z,60.8606,-149.2121,29.6,3,ml,nan,nan,nan,0.76,ak,ak0001amhhl1,2020-02-20T20:04:24.861Z
2000-01-29T15:42:29.790Z,53.628,-162.936,33,3.8,mb,nan,nan,nan,1.07,us,usp0009mtt,2014-11-07T01:09:22.687Z
2000-01-30T02:20:51.730Z,61.0204,-147.2212,18.6,3.1,ml,nan,nan,nan,0.63,ak,ak0001dnfoc5,2020-02-20T20:04:20.641Z
2000-01-30T09:14:18.926Z,60.7685,-151.6877,73.7,3.6,ml,nan,nan,nan,0.65,ak,ak0001drkcqs,2020-02-20T20:04:19.490Z
2000-01-30T18:19:01.533Z,59.3051,-153.5453,100.1,2.5,ml,nan,nan,nan,0.48,ak,ak0001dwyafd,2020-02-20T20:04:16.462Z
2000-02-01T22:47:53.588Z,59.7586,-152.9523,89.5,3.3,ml,nan,nan,nan,0.75,ak,ak0001haktwe,2020-02-20T20:09:40.548Z
2000-02-02T14:50:51.564Z,54.0265,-165.4572,114.8,2.6,ml,nan,nan,nan,0.52,ak,ak0001itdcjo,2020-02-20T20:09:38.772Z
2000-02-03T01:59:41.832Z,59.997,-153.483,144.6,3.1,ml,nan,nan,nan,0.66,ak,ak0001k97yvb,2020-02-20T20:09:37.318Z
2000-02-04T07:35:18.671Z,58.7161,-152.9977,63.7,2.8,ml,nan,nan,nan,0.46,ak,ak0001m06q0r,2020-02-20T20:09:31.569Z
2000-02-04T14:03:24.881Z,57.2856,-154.2577,21.5,3.6,ml,nan,nan,nan,0.83,ak,ak0001m45wtk,2020-02-20T20:09:28.073Z
